Lot Number,PO Number,Prod Qty,PO Date,Qty PO,Due Date,Qty Shipped,First Article,Remark,Tracking No,Real Shipped Date
L15521,P122308,82,2022-10-03 00:00:00,70,2022-12-02 00:00:00,71,,"Less metal stamp. Rvised date to 3/13/23. mat from PO 16999+15738 L = 18.75"" +17013 L = 20.50""",1Z9V89920392270930,2023-04-25 00:00:00
L16811,10434,90,2024-10-07 00:00:00,50,2025-02-01 00:00:00,50,,Mat PO 18795 not 18512,,2025-05-01 00:00:00
L15612,P121945,79,2022-11-11 00:00:00,75,2023-05-09 00:00:00,74,11195,Revise 5/9 to 5/26,1Z9V89921296692095,2023-05-23 00:00:00
L16219,P127883,118,2023-10-25 00:00:00,100,2024-04-12 00:00:00,11,,ST Issued 04/02/24,1Z9V89920393821708,2024-06-12 00:00:00
L16219-1,P127883,93,2023-10-25 00:00:00,0,2024-08-01 00:00:00,88,,ST Issued 10/28,1Z9V89920390372315,2024-11-07 00:00:00
L17272,P135917,,2025-07-14 00:00:00,125,2025-10-15 00:00:00,,,,,
L16280,P128150,,2023-11-22 00:00:00,20,2024-01-15 00:00:00,20,11304,"IDR156916, .250 & .292 were oversized after coating.",1Z9V89920392609039,2024-02-27 00:00:00
L16812,10434,,2024-10-07 00:00:00,50,2025-02-01 00:00:00,50,,"Mat PO 18071, 2024, 1 1/4""",drop off,2025-02-13 00:00:00
L16258,P128116,,2023-11-08 00:00:00,50,2024-02-07 00:00:00,0,AS,ST Issue 7/15. Scrapped. Pre-MRB not approved.,Closed.,2024-07-17 00:00:00
L16681,P128116,80,2024-07-24 00:00:00,50,2024-08-31 00:00:00,50,11362,"Mat PO 18001, 4 ft.. ST Issue 7/4",777901425360,2024-08-10 00:00:00
L16112,P126941,,2023-09-01 00:00:00,60,2023-11-09 00:00:00,58,11277,10/26/23 Revised 30 to 60 pcs,1Z9V89920397538320,2023-11-29 00:00:00
L16813,10434,,2024-10-07 00:00:00,50,2025-02-01 00:00:00,38,,"Mat PO 16822, 2022,  
5/8"" HEX, HT: 749456",drop off,2025-02-13 00:00:00
L16813-1,10434,,2024-10-07 00:00:00,0,2025-02-01 00:00:00,12,,"Mat PO 16822, 2022,  
5/8"" HEX, HT:750678",drop off,2025-02-13 00:00:00
L13547,P108186,47,2019-10-21 00:00:00,25,2020-01-24 00:00:00,25,10425,,,2020-01-22 00:00:00
L14090,P112720,30,2020-08-12 00:00:00,4,2020-12-01 00:00:00,4,,,,2020-10-19 00:00:00
L14091,P112720,20,2020-08-12 00:00:00,7,2021-02-01 00:00:00,7,,,,2021-01-01 00:00:00
L14168,P113335,13,2020-10-08 00:00:00,10,2022-01-10 00:00:00,10,,,,2021-12-07 00:00:00
L15159,P119805,39,2022-03-23 00:00:00,30,2022-06-27 00:00:00,30,11052,"mat PO 15155, 2019",1Z9V89920391961383,2022-06-21 00:00:00
L15886,P125040,,2023-04-06 00:00:00,40,2023-07-07 00:00:00,0,bal. 21,mat PO 16852. ST Issued 7/10. Revise 7/31.,SCRAPPED,2023-11-07 00:00:00
L16002,P125040,9,2023-04-06 00:00:00,0,2023-07-31 00:00:00,9,,from L13547,,2023-07-14 00:00:00
L16003,P125040,3,2023-04-06 00:00:00,0,2023-07-31 00:00:00,3,,from L14090,,2023-07-14 00:00:00
L16004,P125040,7,2023-04-06 00:00:00,0,2023-07-31 00:00:00,7,,from L15159,,2023-07-14 00:00:00
L16198,P125040,57,2023-04-06 00:00:00,0,2023-12-15 00:00:00,21,,Revised date 1/2/24,1Z9V89920396097246,2023-12-27 00:00:00
L16217,P127811,138,2023-10-25 00:00:00,120,2024-01-25 00:00:00,120,11355,ST Issue 7/15,1Z9V89920393970039,2024-07-22 00:00:00
L14579,P156507,101,2021-05-17 00:00:00,100,2021-07-12 00:00:00,100,10871,-,-,2021-07-09 00:00:00
L14949,P158195,270,2021-12-09 00:00:00,200,2022-02-04 00:00:00,200,,,,2022-01-28 00:00:00
L15720,P162710,64,2023-01-26 00:00:00,100,2023-05-05 00:00:00,57,,"Mat PO 16435 & 17257, 4.50"". Revise due date to 6/23",Drop off,2023-06-22 00:00:00
L15993,P162710,43,2023-01-26 00:00:00,0,2023-05-05 00:00:00,43,,from L14949. Revise due date to 6/23,Drop off,2023-06-22 00:00:00
L16665,P168991,127,2024-07-22 00:00:00,100,2025-03-05 00:00:00,100,,"Mat PO 16946, 2022 x 4 ft. 
ST Issued 3/10",Drop off,2025-04-04 00:00:00
L16218,P127850,73,2023-10-25 00:00:00,50,2024-01-24 00:00:00,50,11320,ST Issue 3/16,1Z9V89920395454469,2024-04-04 00:00:00
L14665,P156880,50,2021-06-21 00:00:00,50,2021-08-16 00:00:00,50,10873,,,2021-07-09 00:00:00
L14931,P158168,54,2021-11-30 00:00:00,50,2022-01-21 00:00:00,50,,,,2022-01-28 00:00:00
L15176,P159336,67,2022-04-08 00:00:00,50,2022-07-08 00:00:00,50,,,1Z9V89920396045051,2022-06-08 00:00:00
L15475,P161150,55,2022-12-02 00:00:00,50,2022-12-02 00:00:00,50,,,DROP OFF,2022-11-01 00:00:00
L15633,P161974,86,2022-11-18 00:00:00,50,2023-02-10 00:00:00,50,,,DROP OFF,2022-12-14 00:00:00
L15820,P162993,255,2023-02-27 00:00:00,100,2023-04-11 00:00:00,100,,Mat PO 16537,DROP OFF,2023-03-20 00:00:00
L15848,P163398,135,2023-03-16 00:00:00,100,2023-04-11 00:00:00,100,,Mat PO 16537. From L15820,DROP OFF,2023-03-20 00:00:00
L16703,P169126,77,2024-08-02 00:00:00,100,2024-12-13 00:00:00,60,11423,ST Issued 12/9,Label Ready,2025-02-20 00:00:00
L16704,P169126,119,2024-08-02 00:00:00,100,2025-03-05 00:00:00,110,Short 30,"ST Issued 3/26. 
NDT made mistake using Green.",Drop off,2025-08-25 00:00:00
L17155,P172169,,2025-04-28 00:00:00,100,2025-12-15 00:00:00,,,,,
L17156,P172169,,2025-04-28 00:00:00,100,2026-03-05 00:00:00,,,,,
L17157,P172169,,2025-04-28 00:00:00,100,2026-05-05 00:00:00,,,,,
L14356,P155649,53,2021-02-11 00:00:00,60,2021-04-22 00:00:00,50,10778,,,2021-04-13 00:00:00
L14657,P156837,75,2021-08-26 00:00:00,60,2021-07-15 00:00:00,60,,Revise from 50 to 60 pcs,-,2021-07-15 00:00:00
L15049,P158712,130,2022-02-15 00:00:00,100,2022-04-18 00:00:00,100,,,1Z9V89920392165036,2022-03-18 00:00:00
L15587,P161729,120,2022-11-02 00:00:00,100,2023-01-13 00:00:00,100,,,1Z9V89920398126611,2022-12-13 00:00:00
L15823,P163177,136,2023-02-28 00:00:00,100,2023-04-25 00:00:00,100,,Mat PO 16537,drop off,2023-03-20 00:00:00
L17293,P172938,18,2025-07-17 00:00:00,18,2025-08-13 00:00:00,18,11441,"From L14356 & L14657, Mat PO 15836 & 16077, HT:OT0013334",1Z9V89920396764908,2025-08-11 00:00:00
L17294,P172938,28,2025-07-17 00:00:00,28,2025-08-13 00:00:00,28,,"from L15049, Mat PO 16537, HT:OT0029589",1Z9V89920396764908,2025-08-11 00:00:00
L17295,P172938,0,2025-07-17 00:00:00,54,2025-10-10 00:00:00,54,,"Mat PO 16077, 19.75""",drop off,2025-11-14 00:00:00
L16469,P167324,35,2024-04-01 00:00:00,25,2024-05-13 00:00:00,25,11335,ST Issue 10/9/24,Drop off,2024-05-17 00:00:00
L16710,P169189,85,2024-08-07 00:00:00,50,2025-01-10 00:00:00,50,11416,"1/6/25 Changed from PO 18075 to 16256 because could not find 18075. 102"" started, leftover 21"". 1/7/25 Changed to PO 17991 because J messed up the whole job using wrong knurling TPI. ST Issue 1/2/25",Drop off,2025-02-07 00:00:00
L17507,P174194,,2025-11-15 00:00:00,60,2026-01-19 00:00:00,,,,,
L16810,10434,61,2024-10-07 00:00:00,50,2024-11-20 00:00:00,50,,ST Issued 11/11,Label Ready,2024-11-21 00:00:00
L16165,P127603,100,2023-10-04 00:00:00,100,2023-10-25 00:00:00,45,11261,ST Issed 10/10,1Z9V89920391445726,2023-10-23 00:00:00
L16165-1,P127603,51,2023-10-04 00:00:00,0,2023-10-25 00:00:00,51,11263,,773854517201,2023-10-24 00:00:00
L16165-2,P127603,4,2023-10-04 00:00:00,0,2023-10-25 00:00:00,4,, Set up piece. Scrapped. Ship back to customer,1Z9V89920393304133,2023-10-24 00:00:00
L16166,P127603,100,2023-10-04 00:00:00,100,2023-12-30 00:00:00,60,,ST Issued 12/04,1Z9V89920298296145,2023-12-05 00:00:00
L16166-1,P127603,32,2023-10-04 00:00:00,0,2023-12-30 00:00:00,32,,,1Z9V89920793698078,2023-12-11 00:00:00
L16166-1,P127603,8,2023-10-04 00:00:00,0,2023-12-30 00:00:00,8,,Scrapped & returned,,2023-12-12 00:00:00
L16372,P129067,,2024-01-23 00:00:00,180,2024-08-14 00:00:00,0,,7/26/24 Cancelled order,,2024-07-26 00:00:00
L16837,P132714,47,2024-11-07 00:00:00,20,2024-12-05 00:00:00,20,,ST Issue 11/7,770498787007,2024-12-04 00:00:00
L16837-1,P132714,21,2024-11-07 00:00:00,0,2025-01-15 00:00:00,21,,,1Z9V89920398527009,2025-03-03 00:00:00
L16859,P132714,,2024-11-07 00:00:00,45,2025-01-15 00:00:00,89,,ST Issued 5/5,1Z9V89920397851286,2025-11-24 00:00:00
L16860,P132714,,2024-11-07 00:00:00,45,2025-04-15 00:00:00,,,,,
L16861,P132714,,2024-11-07 00:00:00,45,2025-07-15 00:00:00,,,,,
L16862,P132714,,2024-11-07 00:00:00,45,2025-12-15 00:00:00,,,,,
L16277,P166039,60,2023-11-20 00:00:00,50,2024-01-24 00:00:00,50,11287 & 11288,used mat PO 17839,1Z9V89920394676605,2024-01-08 00:00:00
L16277-R1,P166039,32,2024-01-26 00:00:00,50,2024-02-29 00:00:00,0,30,"remade/reworked per MRB-11450. Mat PO 16023, 2021. ST Issue 3/21. 
NDT PO 18059. As of 7/24/25 ST still open and waiting for transfer.",,
L16384,P166039,69,2024-01-26 00:00:00,50,2024-02-29 00:00:00,50,11317,remade/reworked per MRB-11450. Mat PO 17878. ST Issue 3/11. Found package on 4/1.,,2024-04-01 00:00:00
L16655,P168929,360,2024-07-17 00:00:00,300,2024-12-10 00:00:00,300,AS,ST Issued 12/30,Label Ready. Drop off,2025-01-17 00:00:00
L17269,P172818,,2025-07-14 00:00:00,300,2025-09-16 00:00:00,,,"ST Issued 10/07/25  
Mat from Fry steel Mat PO 18317,
size 1 1/2 ""
12/1/25 Ek could not find mat. Have to order the new one, PO 19195.
MIL-S-6758 superseded by AMS-S-6758",,
L15901,P163705,53,2023-04-17 00:00:00,20,2023-06-23 00:00:00,20,11220,ST Issued 7/26,1Z9V89920397904675,2023-08-09 00:00:00
